Probe Name;20240604_30103010090426-01_Sample01_01.RCC;20240604_30103010090426-01_Sample02_02.RCC;20240604_30103010090426-01_Sample04_04.RCC;20240604_30103010090426-01_Sample06_06.RCC;20240604_30103010090426-01_Sample07_07.RCC;20240604_30103010090426-01_Sample08_08.RCC;20240604_30103010090426-01_Sample09_09.RCC;20240604_30103010090426-01_Sample10_10.RCC;20240604_30103010090426-01_Sample11_11.RCC;20240604_30103010090426-01_Sample12_12.RCC
hsa-miR-202-3p;32;41;25;27;35;38;25;23;16;21
hsa-miR-203a-3p;40;28;28;22;27;27;28;27;26;18
hsa-miR-203a-5p;42;56;57;38;29;27;29;27;36;20
hsa-miR-204-5p;10;22;13;16;22;9;14;17;14;22
hsa-miR-205-5p;24;35;24;34;35;38;31;28;19;39
hsa-miR-2053;38;37;25;29;33;34;36;37;24;34
hsa-miR-206;25;48;29;20;19;27;27;21;17;28
hsa-miR-208a-3p;29;35;46;27;40;25;39;32;33;31
hsa-miR-208b-3p;47;53;40;49;41;45;40;36;41;48
hsa-miR-208b-5p;22;63;29;49;40;41;37;35;24;22
hsa-miR-20a-5p?miR-20b-5p;75;189;97;210;100;110;158;117;209;138
hsa-miR-21-5p;73;106;97;372;81;81;88;115;186;379
hsa-miR-210-3p;27;25;42;28;34;24;21;18;18;17
hsa-miR-210-5p;27;28;36;22;22;20;26;28;13;17
hsa-miR-211-3p;42;41;40;47;50;49;37;31;34;34
hsa-miR-211-5p;22;32;30;19;28;29;26;31;18;26
hsa-miR-2110;25;33;24;20;36;26;19;16;19;10
hsa-miR-2113;43;33;37;32;34;29;32;30;23;24
hsa-miR-2116-5p;10;16;10;10;20;20;22;18;9;21
hsa-miR-2117;54;59;35;42;45;72;36;35;26;27
hsa-miR-212-3p;57;60;84;68;63;67;61;56;44;60
hsa-miR-214-3p;7;10;16;16;18;26;18;19;14;15
hsa-miR-215-5p;21;27;22;14;18;21;31;22;22;16
hsa-miR-216a-5p;118;106;141;86;143;114;97;125;96;80
hsa-miR-216b-5p;16;15;28;24;40;32;32;25;17;26
hsa-miR-217;23;29;31;28;26;17;26;20;21;24
hsa-miR-218-5p;33;56;32;45;31;60;27;36;35;25
hsa-miR-219a-1-3p;36;41;27;27;44;44;31;30;21;22
hsa-miR-219a-2-3p;20;63;35;29;37;46;14;27;20;17
hsa-miR-219a-5p;29;63;36;40;42;39;36;27;38;22
hsa-miR-219b-3p;64;68;61;51;62;53;52;55;48;31
hsa-miR-22-3p;44;91;88;170;81;63;120;134;110;136
hsa-miR-221-3p;29;65;43;37;37;43;43;40;41;33
hsa-miR-221-5p;9;6;7;7;9;16;13;5;8;6
hsa-miR-222-3p;29;43;42;28;32;40;45;27;53;53
hsa-miR-223-3p;469;569;310;709;439;405;614;649;1193;745
hsa-miR-224-5p;48;40;26;32;45;38;36;36;31;27
hsa-miR-2278;14;14;15;8;10;13;14;12;6;15
hsa-miR-23a-3p;173;307;271;464;303;237;302;255;409;685
hsa-miR-23b-3p;17;36;19;21;25;27;29;22;24;10
hsa-miR-23c;56;45;67;37;62;67;49;55;30;35
hsa-miR-24-3p;50;61;47;54;52;55;45;51;43;46
hsa-miR-25-3p;107;527;267;380;250;143;430;389;636;471
hsa-miR-25-5p;34;48;45;48;48;38;48;32;41;44
hsa-miR-2682-5p;27;17;30;23;27;21;14;23;20;21
hsa-miR-26a-5p;29;41;45;31;40;26;27;39;44;41
hsa-miR-26b-5p;67;312;176;150;147;88;239;113;309;305
hsa-miR-27a-3p;33;33;38;40;44;49;26;33;26;30
hsa-miR-27b-3p;31;45;49;62;40;38;39;74;35;52
hsa-miR-28-3p;28;40;37;23;29;36;39;40;25;21
hsa-miR-28-5p;73;63;83;44;91;81;64;74;65;39
hsa-miR-296-3p;16;12;21;12;21;15;25;24;13;17
hsa-miR-296-5p;12;7;15;20;12;11;19;13;12;15
hsa-miR-297;12;21;21;24;23;14;15;21;11;11
hsa-miR-298;29;32;36;35;34;33;26;30;28;27
hsa-miR-299-3p;37;38;42;32;44;33;49;36;37;30
hsa-miR-299-5p;41;47;47;37;47;39;43;33;29;27
hsa-miR-29a-3p;27;35;39;48;36;34;35;43;32;51
hsa-miR-29b-3p;47;67;41;68;55;52;53;48;79;55
hsa-miR-29c-3p;53;93;56;110;53;90;56;50;54;38
hsa-miR-300;29;28;22;22;24;18;20;14;18;16
hsa-miR-301a-3p;39;33;35;28;36;34;33;30;19;20
hsa-miR-301a-5p;37;54;49;45;49;38;42;52;43;34
hsa-miR-301b-3p;30;50;55;24;39;37;32;32;22;35
hsa-miR-301b-5p;25;27;23;27;19;22;28;27;19;16
hsa-miR-302a-3p;29;23;23;19;18;14;18;20;10;8
hsa-miR-302a-5p;34;47;43;27;35;25;45;40;36;32
hsa-miR-302b-3p;36;30;40;48;40;38;45;36;34;43
hsa-miR-302c-3p;26;22;29;22;23;16;27;24;12;26
hsa-miR-302d-3p;102;204;162;106;140;100;123;124;112;118
hsa-miR-302e;22;34;31;15;20;32;27;18;17;22
hsa-miR-302f;28;32;24;22;33;26;30;24;21;22
hsa-miR-3065-3p;21;20;22;26;15;18;26;22;11;13
hsa-miR-3065-5p;36;33;36;31;42;36;38;22;29;17
hsa-miR-3074-3p;42;70;34;46;41;49;48;36;37;23
hsa-miR-30a-3p;42;44;31;45;36;29;24;41;34;28
